Date,Adj Close,ETS,ARIMA,ARIMAGARCH,LSTM,ESE,Unnamed: 7
2022/8/24,166.997574,166.3521369,172.2014749,164.8688218,166.359604,172.2014749,172.8097739
2022/8/25,169.489624,166.0525522,172.3510501,163.6862156,167.296616,172.3510501,172.1515798
2022/8/26,163.099991,168.6529584,171.9022143,168.4477749,171.981674,171.9022143,170.9772924
2022/8/29,160.867126,163.2628118,168.6786129,166.6807583,156.710358,168.6786129,169.3919127
2022/8/30,158.404984,160.936519,167.594911,160.8966262,158.634261,167.594911,163.909491
2022/8/31,156.720337,159.1189215,155.4549493,156.4039762,155.942842,155.4549493,159.3176852
2022/9/1,157.457993,156.2078827,154.9031953,151.2009591,155.03569,154.9031953,155.712841
2022/9/2,155.314819,155.3450589,156.7803786,155.1201122,158.195649,156.7803786,155.0146703
2022/9/6,154.038879,152.887155,153.3604369,154.0225627,153.171645,153.3604369,154.1365746
2022/9/7,155.464355,150.5653425,152.2689082,153.2320689,152.762939,152.2689082,153.4649126
2022/9/8,153.969116,153.5688826,154.7653926,154.1459991,156.889831,154.7653926,153.2501799
2022/9/9,156.869858,152.8833215,152.7162389,152.9523281,152.473877,152.7162389,153.0849447
2022/9/12,162.910599,156.2827288,151.7732024,156.2287352,159.7706,151.7732024,152.0895248
2022/9/13,153.351074,163.1046458,151.7791329,163.9556292,168.95134,151.7791329,151.9418432
2022/9/14,154.816406,155.1853286,152.2731943,157.4717876,143.791549,152.2731943,152.6297239
2022/9/15,151.885742,156.8255588,153.8368445,155.2055841,156.281738,153.8368445,152.435519
2022/9/16,150.221054,154.3478365,151.1965183,151.5140835,148.955078,151.1965183,151.4660195
2022/9/19,153.989029,151.9516757,149.3646958,143.9791578,148.556366,149.3646958,151.2550729
2022/9/20,156.401352,151.2643292,153.2040047,151.6396213,157.757004,153.2040047,152.6540114
2022/9/21,153.231461,147.3113998,155.3933335,155.6769627,158.813675,155.3933335,153.8052684
2022/9/22,152.254578,151.2889663,152.8184671,154.8913663,150.06157,152.8184671,153.498119
2022/9/23,149.951904,151.6761367,152.2825563,154.0657743,151.277695,152.2825563,151.6051939
2022/9/26,150.290833,151.5129927,149.7145582,149.5153789,147.64923,149.7145582,151.5056929
2022/9/27,151.277695,151.6726089,152.5199642,146.4946774,150.629762,152.5199642,152.9392721
2022/9/28,149.363785,150.9118851,156.5832938,150.1938854,152.264557,156.5832938,152.3358065
2022/9/29,142.027176,149.0476826,147.9041614,149.2068301,147.449875,147.9041614,150.7500804
2022/9/30,137.760773,144.3971162,147.7627859,142.9642028,134.690567,147.7627859,146.3783735
2022/10/3,141.997269,135.4739586,143.4681733,135.1149798,133.49437,143.4681733,144.6773813
2022/10/4,145.635681,138.3013782,142.8011847,135.1314503,146.233765,142.8011847,142.7429536
2022/10/5,145.934708,139.5642392,141.9595027,143.8232061,149.274093,141.9595027,142.1629686
2022/10/6,144.967804,140.9272585,141.7282185,146.4373042,146.233735,141.7282185,142.299328
2022/10/7,139.644775,144.2285501,143.2102629,148.383371,144.0009,143.2102629,141.8696452
2022/10/10,139.973724,139.3646873,140.6704541,140.3557349,134.321746,140.6704541,140.9968705
2022/10/11,138.5383,139.4996649,139.1098947,138.7074375,140.302673,139.1098947,139.3746812
2022/10/12,137.90033,140.1645337,138.3436949,136.0533081,137.102876,138.3436949,138.1427464
2022/10/13,142.535583,137.4753873,136.9746496,135.8105866,137.26236,136.9746496,138.7939442
2022/10/14,137.940216,141.3297216,141.0634882,141.8399866,147.170836,141.0634882,138.4613295
2022/10/17,141.957413,137.1753269,137.3458506,139.4626082,133.344849,137.3458506,139.721911
2022/10/18,143.293152,139.5266795,140.7563941,142.0594976,145.97461,140.7563941,139.6077876
2022/10/19,143.402802,142.7618442,140.7211183,145.1757544,144.628891,140.7211183,140.1719144
2022/10/20,142.934296,143.5852526,139.0382309,144.7353045,143.512452,139.0382309,140.1283026
2022/10/21,146.801971,144.1255189,140.6255587,144.9919758,142.46579,140.6255587,140.7179575
2022/10/24,148.975021,146.7925112,142.490083,145.8317034,150.669646,142.490083,144.0503092
2022/10/25,151.85585,148.2041842,149.0352859,149.6447154,151.148071,149.0352859,145.9935096
2022/10/26,148.875351,152.7081945,146.4551599,153.744748,154.736679,146.4551599,148.2559555
2022/10/27,144.339813,152.0993183,149.2774208,154.3029538,145.894852,149.2774208,146.4677499
2022/10/28,155.245056,149.3775668,143.670669,144.9519933,139.804275,143.670669,149.5582971
2022/10/31,152.852661,153.3957147,155.7268015,150.6991746,166.150299,155.7268015,151.1215012
2022/11/1,150.171204,153.878579,153.967033,153.5083682,150.460266,153.967033,153.6577597
2022/11/2,144.569077,153.1279578,151.2794446,153.2185871,147.489747,151.2794446,152.2296157
2022/11/3,138.438629,148.8651048,151.4423694,147.2146628,138.96695,151.4423694,151.0840152
2022/11/4,138.169037,143.1852906,150.5302316,136.1475118,132.308181,150.5302316,146.8370573
2022/11/7,138.708206,138.3397946,138.5385708,132.3255154,137.899445,138.5385708,142.6482399
2022/11/8,139.287338,136.4685952,138.8759172,133.5297093,139.247375,138.8759172,138.8884561
2022/11/9,134.664383,137.1821815,139.2508802,137.5497717,139.86647,139.2508802,139.6701398
2022/11/10,146.646088,132.299298,140.8836221,137.2366898,130.041428,140.8836221,142.1566512
2022/11/11,149.471771,142.1150736,146.3354514,143.8014789,158.627793,146.3354514,145.3290698
2022/11/14,148.05394,149.0171005,148.768136,150.1860953,152.297454,148.768136,147.1455824
2022/11/15,149.811249,149.386896,146.3331599,152.9614606,146.636109,146.3331599,146.7394382
2022/11/16,148.563156,151.6363254,145.1170187,155.6953684,151.568558,145.1170187,144.6207203
2022/11/17,150.490234,153.2215633,142.4119823,150.4281793,147.315063,142.4119823,145.9512212
2022/11/18,151.059357,154.6609975,150.3246627,148.9459574,152.417312,150.3246627,146.4924422
2022/11/21,147.784348,154.134626,146.7406817,152.632295,151.62848,146.7406817,148.3084155
2022/11/22,149.951035,149.374442,147.8599023,149.1750265,144.509339,147.8599023,148.1908466
2022/11/23,150.839706,149.7910455,149.9719559,149.7035325,152.117722,149.9719559,149.6003941
2022/11/25,147.884201,150.5600915,150.9693241,150.5840922,151.728377,150.9693241,149.8453097
2022/11/28,144.000137,149.1917145,148.594649,148.5143914,144.928696,148.594649,148.1651596
2022/11/29,140.954788,146.4697106,144.9315055,145.2344348,140.116073,144.9315055,144.9874153
2022/11/30,147.804321,140.3157967,141.4360913,139.1520183,137.909439,141.4360913,145.4522579
2022/12/1,148.083893,142.933076,149.9891769,142.2908579,154.653854,149.9891769,146.6466124
2022/12/2,147.584656,145.4948534,148.5145689,147.8067684,148.363465,148.5145689,148.8032745
2022/12/5,146.406464,144.9186478,147.9060777,148.8465329,147.085419,147.9060777,147.6712052
2022/12/6,142.692139,146.1618825,146.5929689,150.7612437,145.228272,146.5929689,145.726927
2022/12/7,140.725143,142.649442,142.6817344,142.6900681,138.977814,142.6817344,143.792681
2022/12/8,142.432526,143.7503399,142.1033398,139.107209,138.758147,142.1033398,142.5149423
